title,image,price,availability,categories,tags,description
Spinarak,https://scrapeme.live/wp-content/uploads/2018/08/167.png,199.00,136,"Pokemon, String Spit","spinarak, String Spit, Swarm",The web spun by Spinarak can be considered its second nervous system. It is said that this Pokémon can determine what kind of prey is touching its web just by the tiny vibrations it feels through the web’s strands.
Ariados,https://scrapeme.live/wp-content/uploads/2018/08/168.png,85.00,50,"Long Leg, Pokemon","ariados, Long Leg, Swarm",Ariados’s feet are tipped with tiny hooked claws that enable it to scuttle on ceilings and vertical walls. This Pokémon constricts the foe with thin and strong silk webbing.
Crobat,https://scrapeme.live/wp-content/uploads/2018/08/169.png,195.00,245,"Bat, Pokemon","Bat, crobat, Inner Focus",Crobat sneaks up on its intended prey using wings that barely make a sound. This Pokémon rests by hanging on a tree branch with its rear legs that serve as wings.
Chinchou,https://scrapeme.live/wp-content/uploads/2018/08/170.png,59.00,130,"Angler, Pokemon","Angler, chinchou, Illuminate","Chinchou’s two antennas are filled with cells that generate strong electricity. This Pokémon’s cells create so much electrical power, it even makes itself tingle slightly."
Lanturn,https://scrapeme.live/wp-content/uploads/2018/08/171.png,131.00,218,"Light, Pokemon","Illuminate, lanturn, Light","Lanturn is known to emit light. If you peer down into the dark sea from a ship at night, you can sometimes see this Pokémon’s light rising from the depths where it swims. It gives the sea an appearance of a starlit night."
Pichu,https://scrapeme.live/wp-content/uploads/2018/08/172.png,193.00,64,"Pokemon, Tiny Mouse","pichu, Static, Tiny Mouse","When Pichu plays with others, it may short out electricity with another Pichu, creating a shower of sparks. In that event, this Pokémon will begin crying, startled by the flash of sparks."
Cleffa,https://scrapeme.live/wp-content/uploads/2018/08/173.png,107.00,187,"Pokemon, Star Shape","cleffa, Cute Charm, Star Shape","On nights with many shooting stars, Cleffa can be seen dancing in a ring. They dance through the night and stop only at the break of day, when these Pokémon quench their thirst with the morning dew."
Igglybuff,https://scrapeme.live/wp-content/uploads/2018/08/174.png,189.00,170,"Balloon, Pokemon","Balloon, Cute Charm, igglybuff",Igglybuff has a soft and plushy body that feels very much like a marshmallow. From this body wafts a gently sweet fragrance that soothes and calms the emotions of its foes.
Togepi,https://scrapeme.live/wp-content/uploads/2018/08/175.png,47.00,264,"Pokemon, Spike Ball","Serene Grace, Spike Ball, togepi","As its energy, Togepi uses the positive emotions of compassion and pleasure exuded by people and Pokémon. This Pokémon stores up feelings of happiness inside its shell, then shares them with others."
Togetic,https://scrapeme.live/wp-content/uploads/2018/08/176.png,69.00,293,"Happiness, Pokemon","Happiness, Serene Grace, togetic","Togetic is said to be a Pokémon that brings good fortune. When the Pokémon spots someone who is pure of heart, it is said to appear and share its happiness with that person."
Natu,https://scrapeme.live/wp-content/uploads/2018/08/177.png,99.00,36,"Pokemon, Tiny Bird","natu, Synchronize, Tiny Bird",Natu has a highly developed jumping ability. The Pokémon flaps and leaps onto tree branches that are taller than grown-up people to pick at the tree’s new shoots.
Xatu,https://scrapeme.live/wp-content/uploads/2018/08/178.png,123.00,196,"Mystic, Pokemon","Mystic, Synchronize, xatu",Xatu is known to stand motionless while staring at the sun all day long. Some people revere it as a mystical Pokémon out of their belief that Xatu is in possession of the power to see into the future.
Mareep,https://scrapeme.live/wp-content/uploads/2018/08/179.png,79.00,152,"Pokemon, Wool","mareep, Static, Wool","Mareep’s fluffy coat of wool rubs together and builds a static charge. The more static electricity is charged, the more brightly the lightbulb at the tip of its tail glows."
Flaaffy,https://scrapeme.live/wp-content/uploads/2018/08/180.png,163.00,64,"Pokemon, Wool","flaaffy, Static, Wool",Flaaffy’s wool quality changes so that it can generate a high amount of static electricity with a small amount of wool. The bare and slick parts of its hide are shielded against electricity.
Ampharos,https://scrapeme.live/wp-content/uploads/2018/08/181.png,41.00,247,"Light, Pokemon","ampharos, Light, Static",Ampharos gives off so much light that it can be seen even from space. People in the old days used the light of this Pokémon to send signals back and forth with others far away.
Bellossom,https://scrapeme.live/wp-content/uploads/2018/08/182.png,25.00,234,"Flower, Pokemon","bellossom, Chlorophyll, Flower","A Bellossom grows flowers more beautifully if it has evolved from a smelly Gloom—the more stinky the better. At night, this Pokémon closes its petals and goes to sleep."
Marill,https://scrapeme.live/wp-content/uploads/2018/08/183.png,127.00,55,"Aqua Mouse, Pokemon","Aqua Mouse, marill, Thick Fat","When fishing for food at the edge of a fast-running stream, Marill wraps its tail around the trunk of a tree. This Pokémon’s tail is flexible and configured to stretch."
Azumarill,https://scrapeme.live/wp-content/uploads/2018/08/184.png,175.00,300,"Aqua Rabbit, Pokemon","Aqua Rabbit, azumarill, Thick Fat",Azumarill can make balloons out of air. It makes these air balloons if it spots a drowning Pokémon. The air balloons enable the Pokémon in trouble to breathe.
Sudowoodo,https://scrapeme.live/wp-content/uploads/2018/08/185.png,54.00,147,"Imitation, Pokemon","Imitation, Rock Head, sudowoodo","Sudowoodo camouflages itself as a tree to avoid being attacked by enemies. However, because its hands remain green throughout the year, the Pokémon is easily identified as a fake during the winter."
Politoed,https://scrapeme.live/wp-content/uploads/2018/08/186.png,193.00,261,"Frog, Pokemon","Damp, Frog, politoed","The curled hair on Politoed’s head is proof of its status as a king. It is said that the longer and more curled the hair, the more respect this Pokémon earns from its peers."
Hoppip,https://scrapeme.live/wp-content/uploads/2018/08/187.png,107.00,266,"Cottonweed, Pokemon","Chlorophyll, Cottonweed, hoppip","This Pokémon drifts and floats with the wind. If it senses the approach of strong winds, Hoppip links its leaves with other Hoppip to prepare against being blown away."
Skiploom,https://scrapeme.live/wp-content/uploads/2018/08/188.png,185.00,94,"Cottonweed, Pokemon","Chlorophyll, Cottonweed, skiploom","Skiploom’s flower blossoms when the temperature rises above 64 degrees Fahrenheit. How much the flower opens depends on the temperature. For that reason, this Pokémon is sometimes used as a thermometer."
Jumpluff,https://scrapeme.live/wp-content/uploads/2018/08/189.png,107.00,235,"Cottonweed, Pokemon","Chlorophyll, Cottonweed, jumpluff",Jumpluff rides warm southern winds to cross the sea and fly to foreign lands. The Pokémon descends to the ground when it encounters cold air while it is floating.
Aipom,https://scrapeme.live/wp-content/uploads/2018/08/190.png,182.00,92,"Long Tail, Pokemon","aipom, Long Tail, Run Away","Aipom’s tail ends in a hand-like appendage that can be cleverly manipulated. However, because the Pokémon uses its tail so much, its real hands have become rather clumsy."
Sunkern,https://scrapeme.live/wp-content/uploads/2018/08/191.png,150.00,255,"Pokemon, Seed","Chlorophyll, Seed, sunkern","Sunkern tries to move as little as it possibly can. It does so because it tries to conserve all the nutrients it has stored in its body for its evolution. It will not eat a thing, subsisting only on morning dew."
Sunflora,https://scrapeme.live/wp-content/uploads/2018/08/192.png,33.00,163,"Pokemon, Sun","Chlorophyll, sun, sunflora",Sunflora converts solar energy into nutrition. It moves around actively in the daytime when it is warm. It stops moving as soon as the sun goes down for the night.
Yanma,https://scrapeme.live/wp-content/uploads/2018/08/193.png,130.00,130,"Clear Wing, Pokemon","Clear Wing, Compound Eyes, yanma",Yanma is capable of seeing 360 degrees without having to move its eyes. It is a great flier that is adept at making sudden stops and turning midair. This Pokémon uses its flying ability to quickly chase down targeted prey.
Wooper,https://scrapeme.live/wp-content/uploads/2018/08/194.png,98.00,48,"Pokemon, Water Fish","Damp, Water Fish, wooper","Wooper usually lives in water. However, it occasionally comes out onto land in search of food. On land, it coats its body with a gooey, toxic film."
Quagsire,https://scrapeme.live/wp-content/uploads/2018/08/195.png,37.00,292,"Pokemon, Water Fish","Damp, quagsire, Water Fish","Quagsire hunts for food by leaving its mouth wide open in water and waiting for its prey to blunder in unaware. Because the Pokémon does not move, it does not get very hungry."
Espeon,https://scrapeme.live/wp-content/uploads/2018/08/196.png,177.00,153,"Pokemon, Sun","espeon, sun, Synchronize",Espeon is extremely loyal to any Trainer it considers to be worthy. It is said that this Pokémon developed its precognitive powers to protect its Trainer from harm.
Umbreon,https://scrapeme.live/wp-content/uploads/2018/08/197.png,78.00,186,"Moonlight, Pokemon","Moonlight, Synchronize, umbreon",Umbreon evolved as a result of exposure to the moon’s waves. It hides silently in darkness and waits for its foes to make a move. The rings on its body glow when it leaps to attack.
Murkrow,https://scrapeme.live/wp-content/uploads/2018/08/198.png,178.00,246,"Darkness, Pokemon","Darkness, Insomnia, murkrow",Murkrow was feared and loathed as the alleged bearer of ill fortune. This Pokémon shows strong interest in anything that sparkles or glitters. It will even try to steal rings from women.
Slowking,https://scrapeme.live/wp-content/uploads/2018/08/199.png,174.00,55,"Pokemon, Royal","Oblivious, Royal, slowking","Slowking undertakes research every day in an effort to solve the mysteries of the world. However, this Pokémon apparently forgets everything it has learned if the Shellder on its head comes off."
Misdreavus,https://scrapeme.live/wp-content/uploads/2018/08/200.png,33.00,207,"Pokemon, Screech","Levitate, misdreavus, Screech","Misdreavus frightens people with a creepy, sobbing cry. The Pokémon apparently uses its red spheres to absorb the fearful feelings of foes and turn them into nutrition."
Unown,https://scrapeme.live/wp-content/uploads/2018/08/201.png,198.00,47,"Pokemon, Symbol","Levitate, Symbol, unown","This Pokémon is shaped like ancient writing. It is a mystery as to which came first, the ancient writings or the various Unown. Research into this topic is ongoing but nothing is known."
Wobbuffet,https://scrapeme.live/wp-content/uploads/2018/08/202.png,107.00,113,"Patient, Pokemon","Patient, Shadow Tag, wobbuffet","Wobbuffet does nothing but endure attacks—it won’t attack on its own. However, it won’t endure an attack on its tail. When that happens, the Pokémon will try to take the foe with it using Destiny Bond."
Girafarig,https://scrapeme.live/wp-content/uploads/2018/08/203.png,99.00,31,"Long Neck, Pokemon","girafarig, Inner Focus, Long Neck","Girafarig’s rear head contains a tiny brain that is too small for thinking. However, the rear head doesn’t need to sleep, so it can keep watch over its surroundings 24 hours a day."
Gligar,https://scrapeme.live/wp-content/uploads/2018/08/207.png,112.00,140,"Fly Scorpion, Pokemon","Fly Scorpion, gligar, Sand Veil","Gligar glides through the air without a sound as if it were sliding. This Pokémon hangs on to the face of its foe using its clawed hind legs and the large pincers on its forelegs, then injects the prey with its poison barb."
Steelix,https://scrapeme.live/wp-content/uploads/2018/08/208.png,116.00,157,"Iron Snake, Pokemon","Iron Snake, Rock Head, steelix",Steelix lives even further underground than Onix. This Pokémon is known to dig toward the earth’s core. There are records of this Pokémon reaching a depth of over six-tenths of a mile underground.
Snubbull,https://scrapeme.live/wp-content/uploads/2018/08/209.png,63.00,164,"Fairy, Pokemon","Fairy, Run Away, snubbull","By baring its fangs and making a scary face, Snubbull sends smaller Pokémon scurrying away in terror. However, this Pokémon seems a little sad at making its foes flee."
Granbull,https://scrapeme.live/wp-content/uploads/2018/08/210.png,59.00,171,"Fairy, Pokemon","Fairy, granbull, Intimidate","Granbull has a particularly well-developed lower jaw. The enormous fangs are heavy, causing the Pokémon to tip its head back for balance. Unless it is startled, it will not try to bite indiscriminately."
Qwilfish,https://scrapeme.live/wp-content/uploads/2018/08/211.png,77.00,297,"Balloon, Pokemon","Balloon, Poison Point, qwilfish","Qwilfish sucks in water, inflating itself. This Pokémon uses the pressure of the water it swallowed to shoot toxic quills all at once from all over its body. It finds swimming somewhat challenging."
Scizor,https://scrapeme.live/wp-content/uploads/2018/08/212.png,172.00,198,"Pincer, Pokemon","Pincer, scizor, Swarm",Scizor has a body with the hardness of steel. It is not easily fazed by ordinary sorts of attacks. This Pokémon flaps its wings to regulate its body temperature.
Shuckle,https://scrapeme.live/wp-content/uploads/2018/08/213.png,194.00,74,"Mold, Pokemon","Mold, shuckle, Sturdy","Shuckle quietly hides itself under rocks, keeping its body concealed inside its hard shell while eating berries it has stored away. The berries mix with its body fluids to become a juice."
Heracross,https://scrapeme.live/wp-content/uploads/2018/08/214.png,143.00,49,"Pokemon, Single Horn","heracross, Single Horn, Swarm","Heracross has sharp claws on its feet. These are planted firmly into the ground or the bark of a tree, giving the Pokémon a secure and solid footing to forcefully fling away foes with its proud horn."
Sneasel,https://scrapeme.live/wp-content/uploads/2018/08/215.png,108.00,141,"Pokemon, Sharp Claw","Keen Eye, Sharp Claw, sneasel",Sneasel scales trees by punching its hooked claws into the bark. This Pokémon seeks out unguarded nests and steals eggs for food while the parents are away.
Teddiursa,https://scrapeme.live/wp-content/uploads/2018/08/216.png,173.00,274,"Little Bear, Pokemon","Little Bear, Pickup, teddiursa",This Pokémon likes to lick its palms that are sweetened by being soaked in honey. Teddiursa concocts its own honey by blending fruits and pollen collected by Beedrill.
Ursaring,https://scrapeme.live/wp-content/uploads/2018/08/217.png,31.00,209,"Hibernator, Pokemon","Guts, Hibernator, ursaring","In the forests inhabited by Ursaring, it is said that there are many streams and towering trees where they gather food. This Pokémon walks through its forest gathering food every day."
Magcargo,https://scrapeme.live/wp-content/uploads/2018/08/219.png,36.00,210,"Lava, Pokemon","Flame Body, Lava, magcargo","Magcargo’s body temperature is approximately 18,000 degrees Fahrenheit. Water is vaporized on contact. If this Pokémon is caught in the rain, the raindrops instantly turn into steam, cloaking the area in a thick fog."
Swinub,https://scrapeme.live/wp-content/uploads/2018/08/220.png,132.00,250,"Pig, Pokemon","Oblivious, Pig, swinub",Swinub roots for food by rubbing its snout against the ground. Its favorite food is a mushroom that grows under the cover of dead grass. This Pokémon occasionally roots out hot springs.
Piloswine,https://scrapeme.live/wp-content/uploads/2018/08/221.png,84.00,276,"Pokemon, Swine","Oblivious, piloswine, Swine",Piloswine is covered by a thick coat of long hair that enables it to endure the freezing cold. This Pokémon uses its tusks to dig up food that has been buried under ice.
Corsola,https://scrapeme.live/wp-content/uploads/2018/08/222.png,27.00,162,"Coral, Pokemon","Coral, corsola, Natural Cure","Clusters of Corsola congregate in warm seas where they serve as ideal hiding places for smaller Pokémon. When the water temperature falls, this Pokémon migrates to the southern seas."
Remoraid,https://scrapeme.live/wp-content/uploads/2018/08/223.png,122.00,46,"Jet, Pokemon","Jet, remoraid, Sniper","Remoraid sucks in water, then expels it at high velocity using its abdominal muscles to shoot down flying prey. When evolution draws near, this Pokémon travels downstream from rivers."
Octillery,https://scrapeme.live/wp-content/uploads/2018/08/224.png,94.00,150,"Jet, Pokemon","Jet, octillery, Sniper","Octillery grabs onto its foe using its tentacles. This Pokémon tries to immobilize it before delivering the finishing blow. If the foe turns out to be too strong, Octillery spews ink to escape."
Delibird,https://scrapeme.live/wp-content/uploads/2018/08/225.png,121.00,141,"Delivery, Pokemon","delibird, Delivery, Vital Spirit","Delibird carries its food bundled up in its tail. There once was a famous explorer who managed to reach the peak of the world’s highest mountain, thanks to one of these Pokémon sharing its food."
Mantine,https://scrapeme.live/wp-content/uploads/2018/08/226.png,114.00,195,"Kite, Pokemon","Kite, mantine, Water Absorb","On sunny days, schools of Mantine can be seen elegantly leaping over the sea’s waves. This Pokémon is not bothered by the Remoraid that hitches rides."
Skarmory,https://scrapeme.live/wp-content/uploads/2018/08/227.png,199.00,102,"Armor Bird, Pokemon","Armor Bird, Keen Eye, skarmory","Skarmory’s steel wings become tattered and bashed in from repeated battles. Once a year, the battered wings grow back completely, restoring the cutting edges to their pristine state."
Houndour,https://scrapeme.live/wp-content/uploads/2018/08/228.png,144.00,184,"Dark, Pokemon","Dark, Flash Fire, houndour",Houndour hunt as a coordinated pack. They communicate with each other using a variety of cries to corner their prey. This Pokémon’s remarkable teamwork is unparalleled.
Houndoom,https://scrapeme.live/wp-content/uploads/2018/08/229.png,78.00,40,"Dark, Pokemon","Dark, Flash Fire, houndoom","In a Houndoom pack, the one with its horns raked sharply toward the back serves a leadership role. These Pokémon choose their leader by fighting among themselves."
Kingdra,https://scrapeme.live/wp-content/uploads/2018/08/230.png,124.00,206,"Dragon, Pokemon","Dragon, kingdra, Swift Swim","Kingdra sleeps on the seafloor where it is otherwise devoid of life. When a storm arrives, the Pokémon is said to awaken and wander about in search of prey."
Phanpy,https://scrapeme.live/wp-content/uploads/2018/08/231.png,129.00,120,"Long Nose, Pokemon","Long Nose, phanpy, Pickup","Phanpy uses its long nose to shower itself. When others gather around, they thoroughly douse each other with water. These Pokémon can be seen drying their soaking-wet bodies at the edge of water."
Donphan,https://scrapeme.live/wp-content/uploads/2018/08/232.png,89.00,197,"Armor, Pokemon","Armor, donphan, Sturdy","If Donphan were to tackle with its hard body, even a house could be destroyed. Using its massive strength, the Pokémon helps clear rock and mud slides that block mountain trails."
Porygon2,https://scrapeme.live/wp-content/uploads/2018/08/233.png,151.00,210,"Pokemon, Virtual","porygon2, Trace, Virtual",Porygon2 was created by humans using the power of science. The man-made Pokémon has been endowed with artificial intelligence that enables it to learn new gestures and emotions on its own.
Stantler,https://scrapeme.live/wp-content/uploads/2018/08/234.png,33.00,278,"Big Horn, Pokemon","Big Horn, Intimidate, stantler","Stantler’s magnificent antlers were traded at high prices as works of art. As a result, this Pokémon was hunted close to extinction by those who were after the priceless antlers."
Smeargle,https://scrapeme.live/wp-content/uploads/2018/08/235.png,151.00,56,"Painter, Pokemon","Painter, smeargle, Technician","Smeargle marks the boundaries of its territory using a body fluid that leaks out from the tip of its tail. Over 5,000 different marks left by this Pokémon have been found."
Tyrogue,https://scrapeme.live/wp-content/uploads/2018/08/236.png,145.00,76,"Pokemon, Scuffle","Guts, Scuffle, tyrogue","Tyrogue becomes stressed out if it does not get to train every day. When raising this Pokémon, the Trainer must establish and uphold various training methods."
Hitmontop,https://scrapeme.live/wp-content/uploads/2018/08/237.png,149.00,47,"Handstand, Pokemon","Handstand, hitmontop, Intimidate","Hitmontop spins on its head at high speed, all the while delivering kicks. This technique is a remarkable mix of both offense and defense at the same time. The Pokémon travels faster spinning than it does walking."
Smoochum,https://scrapeme.live/wp-content/uploads/2018/08/238.png,166.00,116,"Kiss, Pokemon","Kiss, Oblivious, smoochum","Smoochum actively runs about, but also falls quite often. Whenever the chance arrives, it will look for its reflection to make sure its face hasn’t become dirty."
Elekid,https://scrapeme.live/wp-content/uploads/2018/08/239.png,104.00,131,"Electric, Pokemon","Electric, elekid, Static","Elekid stores electricity in its body. If it touches metal and accidentally discharges all its built-up electricity, this Pokémon begins swinging its arms in circles to recharge itself."
Magby,https://scrapeme.live/wp-content/uploads/2018/08/240.png,40.00,21,"Live Coal, Pokemon","Flame Body, Live Coal, magby","Magby’s state of health is determined by observing the fire it breathes. If the Pokémon is spouting yellow flames from its mouth, it is in good health. When it is fatigued, black smoke will be mixed in with the flames."
Miltank,https://scrapeme.live/wp-content/uploads/2018/08/241.png,26.00,12,"Milk Cow, Pokemon","Milk Cow, miltank, Thick Fat",Miltank gives over five gallons of milk on a daily basis. Its sweet milk is enjoyed by children and grown-ups alike. People who can’t drink milk turn it into yogurt and eat it instead.
Blissey,https://scrapeme.live/wp-content/uploads/2018/08/242.png,31.00,289,"Happiness, Pokemon","blissey, Happiness, Natural Cure","Blissey senses sadness with its fluffy coat of fur. If it does so, this Pokémon will rush over to a sad person, no matter how far away, to share a Lucky Egg that brings a smile to any face."
Raikou,https://scrapeme.live/wp-content/uploads/2018/08/243.png,66.00,276,"Pokemon, Thunder","Pressure, raikou, Thunder",Raikou embodies the speed of lightning. The roars of this Pokémon send shock waves shuddering through the air and shake the ground as if lightning bolts had come crashing down.
Entei,https://scrapeme.live/wp-content/uploads/2018/08/244.png,27.00,36,"Pokemon, Volcano","entei, Pressure, Volcano",Entei embodies the passion of magma. This Pokémon is thought to have been born in the eruption of a volcano. It sends up massive bursts of fire that utterly consume all that they touch.
Suicune,https://scrapeme.live/wp-content/uploads/2018/08/245.png,68.00,275,"Aurora, Pokemon","Aurora, Pressure, suicune",Suicune embodies the compassion of a pure spring of water. It runs across the land with gracefulness. This Pokémon has the power to purify dirty water.
Larvitar,https://scrapeme.live/wp-content/uploads/2018/08/246.png,26.00,31,"Pokemon, Rock Skin","Guts, larvitar, Rock Skin","Larvitar is born deep under the ground. To come up to the surface, this Pokémon must eat its way through the soil above. Until it does so, Larvitar cannot see its parents."
Pupitar,https://scrapeme.live/wp-content/uploads/2018/08/247.png,114.00,221,"Hard Shell, Pokemon","Hard Shell, pupitar, Shed Skin",Pupitar creates a gas inside its body that it compresses and forcefully ejects to propel itself like a jet. The body is very durable—it avoids damage even if it hits solid steel.
Tyranitar,https://scrapeme.live/wp-content/uploads/2018/08/248.png,190.00,86,"Armor, Pokemon","Armor, Sand Stream, tyranitar","Tyranitar is so overwhelmingly powerful, it can bring down a whole mountain to make its nest. This Pokémon wanders about in mountains seeking new opponents to fight."
Lugia,https://scrapeme.live/wp-content/uploads/2018/08/249.png,86.00,57,"Diving, Pokemon","Diving, lugia, Pressure","Lugia’s wings pack devastating power—a light fluttering of its wings can blow apart regular houses. As a result, this Pokémon chooses to live out of sight deep under the sea."
Ho-oh,https://scrapeme.live/wp-content/uploads/2018/08/250.png,91.00,228,"Pokemon, Rainbow","ho-oh, Pressure, Rainbow",Ho-Oh’s feathers glow in seven colors depending on the angle at which they are struck by light. These feathers are said to bring happiness to the bearers. This Pokémon is said to live at the foot of a rainbow.
Celebi,https://scrapeme.live/wp-content/uploads/2018/08/251.png,111.00,154,"Pokemon, Time Travel","celebi, Natural Cure, Time Travel","This Pokémon came from the future by crossing over time. It is thought that so long as Celebi appears, a bright and shining future awaits us."
Treecko,https://scrapeme.live/wp-content/uploads/2018/08/252.png,96.00,93,"Pokemon, Wood Gecko","Overgrow, treecko, Wood Gecko","Treecko is cool, calm, and collected—it never panics under any situation. If a bigger foe were to glare at this Pokémon, it would glare right back without conceding an inch of ground."
Grovyle,https://scrapeme.live/wp-content/uploads/2018/08/253.png,190.00,195,"Pokemon, Wood Gecko","grovyle, Overgrow, Wood Gecko","This Pokémon adeptly flies from branch to branch in trees. In a forest, no Pokémon can ever hope to catch a fleeing Grovyle however fast they may be."
Sceptile,https://scrapeme.live/wp-content/uploads/2018/08/254.png,37.00,159,"Forest, Pokemon","Forest, Overgrow, sceptile",Sceptile has seeds growing on its back. They are said to be bursting with nutrients that revitalize trees. This Pokémon raises the trees in a forest with loving care.
Torchic,https://scrapeme.live/wp-content/uploads/2018/08/255.png,28.00,290,"Chick, Pokemon","Blaze, Chick, torchic",Torchic has a place inside its body where it keeps its flame. Give it a hug—it will be glowing with warmth. This Pokémon is covered all over by a fluffy coat of down.
Combusken,https://scrapeme.live/wp-content/uploads/2018/08/256.png,68.00,257,"Pokemon, Young Fowl","Blaze, combusken, Young Fowl",Combusken battles with the intensely hot flames it spews from its beak and with outstandingly destructive kicks. This Pokémon’s cry is very loud and distracting.
Blaziken,https://scrapeme.live/wp-content/uploads/2018/08/257.png,40.00,139,"Blaze, Pokemon","Blaze, blaziken",Blaziken has incredibly strong legs—it can easily clear a 30-story building in one leap. This Pokémon’s blazing punches leave its foes scorched and blackened.
Mudkip,https://scrapeme.live/wp-content/uploads/2018/08/258.png,140.00,193,"Mud Fish, Pokemon","Mud Fish, mudkip, Torrent","In water, Mudkip breathes using the gills on its cheeks. If it is faced with a tight situation in battle, this Pokémon will unleash its amazing power—it can crush rocks bigger than itself."
Marshtomp,https://scrapeme.live/wp-content/uploads/2018/08/259.png,152.00,258,"Mud Fish, Pokemon","marshtomp, Mud Fish, Torrent","Marshtomp is much faster at traveling through mud than it is at swimming. This Pokémon’s hindquarters exhibit obvious development, giving it the ability to walk on just its hind legs."
Swampert,https://scrapeme.live/wp-content/uploads/2018/08/260.png,144.00,113,"Mud Fish, Pokemon","Mud Fish, swampert, Torrent","Swampert predicts storms by sensing subtle differences in the sounds of waves and tidal winds with its fins. If a storm is approaching, it piles up boulders to protect itself."
Poochyena,https://scrapeme.live/wp-content/uploads/2018/08/261.png,130.00,265,"Bite, Pokemon","Bite, poochyena, Run Away",Poochyena is an omnivore—it will eat anything. A distinguishing feature is how large its fangs are compared to its body. This Pokémon tries to intimidate its foes by making the hair on its tail bristle out.
Mightyena,https://scrapeme.live/wp-content/uploads/2018/08/262.png,175.00,173,"Bite, Pokemon","Bite, Intimidate, mightyena",Mightyena travel and act as a pack in the wild. The memory of its life in the wild compels the Pokémon to obey only those Trainers that it recognizes to possess superior skill.
Zigzagoon,https://scrapeme.live/wp-content/uploads/2018/08/263.png,83.00,281,"Pokemon, Tiny Raccoon","Pickup, Tiny Raccoon, zigzagoon",The hair on Zigzagoon’s back is bristly. It rubs the hard back hair against trees to leave its territorial markings. This Pokémon may play dead to fool foes in battle.
Linoone,https://scrapeme.live/wp-content/uploads/2018/08/264.png,81.00,24,"Pokemon, Rushing","linoone, Pickup, Rushing","When hunting, Linoone will make a beeline straight for the prey at a full run. While this Pokémon is capable of topping 60 mph, it has to come to a screeching halt before it can turn."
Wurmple,https://scrapeme.live/wp-content/uploads/2018/08/265.png,195.00,34,"Pokemon, Worm","Shield Dust, Worm, wurmple",Wurmple is targeted by Swellow as prey. This Pokémon will try to resist by pointing the spikes on its rear at the attacking predator. It will weaken the foe by leaking poison from the spikes.
Silcoon,https://scrapeme.live/wp-content/uploads/2018/08/266.png,80.00,86,"Cocoon, Pokemon","Cocoon, Shed Skin, silcoon","Silcoon was thought to endure hunger and not consume anything before its evolution. However, it is now thought that this Pokémon slakes its thirst by drinking rainwater that collects on its silk."
Beautifly,https://scrapeme.live/wp-content/uploads/2018/08/267.png,145.00,42,"Butterfly, Pokemon","beautifly, Butterfly, Swarm","Beautifly has a long mouth like a coiled needle, which is very convenient for collecting pollen from flowers. This Pokémon rides the spring winds as it flits around gathering pollen."
Cascoon,https://scrapeme.live/wp-content/uploads/2018/08/268.png,166.00,122,"Cocoon, Pokemon","cascoon, Cocoon, Shed Skin","If it is attacked, Cascoon remains motionless however badly it may be hurt. It does so because if it were to move, its body would be weak upon evolution. This Pokémon will also not forget the pain it endured."
Dustox,https://scrapeme.live/wp-content/uploads/2018/08/269.png,91.00,23,"Poison Moth, Pokemon","dustox, Poison Moth, Shield Dust","When Dustox flaps its wings, a fine dust is scattered all over. This dust is actually a powerful poison that will even make a pro wrestler sick. This Pokémon searches for food using its antennae like radar."
Lotad,https://scrapeme.live/wp-content/uploads/2018/08/270.png,161.00,187,"Pokemon, Water Weed","lotad, Swift Swim, Water Weed","Lotad is said to have dwelled on land before. However, this Pokémon is thought to have returned to water because the leaf on its head grew large and heavy. It now lives by floating atop the water."
Lombre,https://scrapeme.live/wp-content/uploads/2018/08/271.png,79.00,203,"Jolly, Pokemon","Jolly, lombre, Swift Swim","Lombre’s entire body is covered by a slippery, slimy film. It feels horribly unpleasant to be touched by this Pokémon’s hands. Lombre is often mistaken for a human child."
Ludicolo,https://scrapeme.live/wp-content/uploads/2018/08/272.png,189.00,181,"Carefree, Pokemon","Carefree, ludicolo, Swift Swim","Upon hearing an upbeat and cheerful rhythm, the cells in Ludicolo’s body become very energetic and active. Even in battle, this Pokémon will exhibit an amazing amount of power."
Seedot,https://scrapeme.live/wp-content/uploads/2018/08/273.png,26.00,28,"Acorn, Pokemon","Acorn, Chlorophyll, seedot",Seedot looks exactly like an acorn when it is dangling from a tree branch. It startles other Pokémon by suddenly moving. This Pokémon polishes its body once a day using leaves.
Nuzleaf,https://scrapeme.live/wp-content/uploads/2018/08/274.png,26.00,216,"Pokemon, Wily","Chlorophyll, nuzleaf, Wily",This Pokémon pulls out the leaf on its head and makes a flute with it. The sound of Nuzleaf’s flute strikes fear and uncertainty in the hearts of people lost in a forest.
Shiftry,https://scrapeme.live/wp-content/uploads/2018/08/275.png,157.00,232,"Pokemon, Wicked","Chlorophyll, shiftry, Wicked",Shiftry’s large fans generate awesome gusts of wind at a speed close to 100 feet per second. The whipped-up wind blows anything away. This Pokémon chooses to live quietly deep in forests.
Taillow,https://scrapeme.live/wp-content/uploads/2018/08/276.png,85.00,204,"Pokemon, Tiny Swallow","Guts, taillow, Tiny Swallow","Taillow is young—it has only just left its nest. As a result, it sometimes becomes lonesome and cries at night. This Pokémon feeds on Wurmple that live in forests."
